DayID,hour_of_day,T_out
34,8:00,1.6
34,9:00,3.1
34,10:00,4.4
34,11:00,5.8
34,12:00,6.6
34,13:00,6.5
34,14:00,6.4
34,15:00,6.7
34,16:00,6.7
34,17:00,5.7
34,18:00,5.3
34,19:00,4.4
34,20:00,3.8
34,21:00,4.2
34,22:00,4.6
34,23:00,3.5
35,0:00,4.1
35,1:00,4.5
35,2:00,4.6
35,3:00,4.4
35,4:00,4.2
35,5:00,3.9
35,6:00,3.9
35,7:00,4.1
35,8:00,3.9
35,9:00,3.3
35,10:00,3
35,11:00,2.9
35,12:00,2.4
35,13:00,3.1
35,14:00,4.9
35,15:00,5.7
35,16:00,7.2
35,17:00,7.6
35,18:00,6.8
35,19:00,6.3
35,20:00,5.7
35,21:00,5.3
35,22:00,4.9
35,23:00,4.8
36,0:00,4.4
36,1:00,4.1
36,2:00,3.5
36,3:00,3.3
36,4:00,2.9
36,5:00,2.3
36,6:00,1.5
36,7:00,2.1
36,8:00,3.2
36,9:00,4.1
36,10:00,4.8
36,11:00,5.4
36,12:00,5.7
36,13:00,6
36,14:00,6.4
36,15:00,6.3
36,16:00,6
36,17:00,5.1
36,18:00,4.3
36,19:00,3.7
36,20:00,3.2
36,21:00,3
36,22:00,2.8
36,23:00,2.4
37,0:00,1.7
37,1:00,1.9
37,2:00,1.9
37,3:00,2.2
37,4:00,2.3
37,5:00,2.6
37,6:00,1.7
37,7:00,1.9
37,8:00,1.9
37,9:00,1.5
37,10:00,3.5
37,11:00,6.4
37,12:00,7.8
37,13:00,7.7
37,14:00,8.6
37,15:00,9.3
37,16:00,8.2
37,17:00,7.9
37,18:00,7.9
37,19:00,7.7
37,20:00,7.3
37,21:00,6.7
37,22:00,6.8
37,23:00,6.6
38,0:00,6.1
38,1:00,5.9
38,2:00,6.7
38,3:00,6.7
38,4:00,5.9
38,5:00,5.8
38,6:00,6.2
38,7:00,6.3
38,8:00,6.9
38,9:00,7.1
38,10:00,8
38,11:00,7.3
38,12:00,7.3
38,13:00,4.9
38,14:00,4.8
38,15:00,5.6
38,16:00,6.3
38,17:00,6.9
38,18:00,6.4
38,19:00,5.7
38,20:00,4.7
38,21:00,4.7
38,22:00,4.3
38,23:00,4.2
39,0:00,4.3
39,1:00,2.9
39,2:00,3.3
39,3:00,3.4
39,4:00,3.2
39,5:00,3.1
39,6:00,2.4
39,7:00,3.4
39,8:00,4.1
39,9:00,5.2
39,10:00,5.8
39,11:00,6.3
39,12:00,6.5
39,13:00,4.9
39,14:00,4.9
39,15:00,5.6
39,16:00,5.9
39,17:00,5.5
39,18:00,5.2
39,19:00,4.4
39,20:00,3.8
39,21:00,3.2
39,22:00,2.8
39,23:00,2.5
40,0:00,2.3
40,1:00,2.6
40,2:00,2.6
40,3:00,2.8
40,4:00,2.9
40,5:00,3
40,6:00,2.9
40,7:00,3.6
40,8:00,4.7
40,9:00,5.4
40,10:00,6
40,11:00,6.3
40,12:00,7.2
40,13:00,6.9
40,14:00,7.3
40,15:00,6.9
40,16:00,7.2
40,17:00,6.9
40,18:00,6.2
40,19:00,5.5
40,20:00,5
40,21:00,4.7
40,22:00,4.3
40,23:00,4.1
41,0:00,4
41,1:00,3.7
41,2:00,3.6
41,3:00,3.4
41,4:00,3.3
41,5:00,3.1
41,6:00,3.2
41,7:00,3.9
41,8:00,4.9
41,9:00,5.6
41,10:00,6.3
41,11:00,7.2
41,12:00,7.4
41,13:00,7.7
41,14:00,7.4
41,15:00,7
41,16:00,6.5
41,17:00,6
41,18:00,5.5
41,19:00,4.8
41,20:00,4.3
41,21:00,4.1
41,22:00,3.6
41,23:00,3.2
42,0:00,2.9
42,1:00,2.9
42,2:00,2.8
42,3:00,2.6
42,4:00,2.3
42,5:00,2.1
42,6:00,2.4
42,7:00,3.4
42,8:00,4.9
42,9:00,5.9
42,10:00,6.6
42,11:00,7.2
42,12:00,7.7
42,13:00,8.3
42,14:00,8.4
42,15:00,8.3
42,16:00,8.3
42,17:00,8
42,18:00,7.4
42,19:00,5.7
42,20:00,4.3
42,21:00,3.2
42,22:00,2.7
42,23:00,2.4
43,0:00,1.7
43,1:00,1
43,2:00,0.3
43,3:00,0.5
43,4:00,1.6
43,5:00,0.6
43,6:00,1.3
43,7:00,3.4
43,8:00,4.2
43,9:00,5
43,10:00,5.9
43,11:00,6.6
43,12:00,6.8
43,13:00,7.2
43,14:00,7.3
43,15:00,7.6
43,16:00,7.3
43,17:00,7.4
43,18:00,7.1
43,19:00,6.1
43,20:00,5.4
43,21:00,4.9
43,22:00,4.7
43,23:00,4.8
44,0:00,5
44,1:00,5
44,2:00,5.5
44,3:00,5.8
44,4:00,6.2
44,5:00,6.2
44,6:00,6.2
44,7:00,6.7
44,8:00,7.1
44,9:00,7.7
44,10:00,8.1
44,11:00,8.3
44,12:00,8.9
44,13:00,10.7
44,14:00,10.5
44,15:00,10.6
44,16:00,10.1
44,17:00,9.5
44,18:00,8.7
44,19:00,8.4
44,20:00,8.2
44,21:00,8.6
44,22:00,9.8
44,23:00,10.5
