run,E_heat_kWh,E_cool_kWh,E_plug_kWh,E_light_kWh,E_total_kWh,CO2_exceed_hours,mean_occupancy,E_per_capita
18,44372.85806399999,0.0,715.05,548.625,45636.533063999996,0.0,21.81912878787879,2091.5836515595674
19,44214.38008210526,0.0,730.675,560.925,45505.98008210525,0.0,24.007575757575758,1895.4841813940968
20,44755.5918616842,0.0,739.9,567.4499999999999,46062.9418616842,0.0,21.37215909090909,2155.277885858413
21,44702.70558673684,0.0,725.3249999999999,556.5749999999999,45984.60558673684,0.0,25.05847537878788,1835.0919156742884
22,44622.20647031578,0.0,753.3,578.2249999999999,45953.73147031579,0.0,24.00284090909091,1914.5121881348275
23,44993.54600463158,0.0,717.4,550.3,46261.246004631575,0.0,22.35274621212121,2069.6001093389373
24,44303.11087663158,0.0,710.3499999999999,545.175,45558.635876631575,0.0,20.793560606060606,2190.9973351727363
25,44625.46648042106,0.0,745.8,572.575,45943.84148042106,0.0,23.246685606060606,1976.360942759217
26,44063.58900757894,0.0,727.4749999999999,558.4,45349.46400757894,0.0,24.156960227272727,1877.2835481336888
27,44388.197006526316,0.0,683.2249999999999,524.375,45595.797006526314,0.0,20.663352272727273,2206.6021236402366
28,43935.55707326315,0.0,742.525,569.8249999999999,45247.90707326315,0.0,22.362215909090907,2023.4089169521224
29,44655.83080694737,0.0,720.5,553.3499999999999,45929.68080694737,0.0,24.81652462121212,1850.770061803441
30,44845.32159578947,0.0,706.3499999999999,543.075,46094.746595789475,0.0,22.940577651515152,2009.3106327139528
31,43776.42719831579,0.0,729.275,559.5999999999999,45065.30219831579,0.0,22.39441287878788,2012.3457775935672
32,44147.835729052626,0.0,690.5249999999999,530.625,45368.98572905263,0.0,25.043560606060606,1811.6028484413362
33,44601.97528968421,0.0,740.825,568.6999999999999,45911.50028968421,0.0,24.063210227272727,1907.9540865935296
34,44512.07973452631,0.0,726.3999999999999,557.5,45795.979734526314,0.0,22.235795454545453,2059.561117484766
35,44579.65383642105,0.0,733.4749999999999,562.75,45875.87883642105,0.0,20.620738636363637,2224.744692487457
36,43748.17980463158,0.0,740.775,567.9,45056.854804631585,0.0,22.570075757575758,1996.309418213097
37,44281.355844,0.0,717.4999999999999,550.375,45549.230844,0.0,21.39725378787879,2128.74190751539
38,44312.342898736846,0.0,743.3499999999999,570.9499999999999,45626.64289873684,0.0,23.84777462121212,1913.245307935477
39,43643.554673052626,0.0,731.3249999999999,561.65,44936.52967305263,0.0,26.30587121212121,1708.2319498449758
40,44130.66822863158,0.0,714.675,549.125,45394.46822863157,0.0,21.061789772727273,2155.299654895068
41,44717.66812315789,0.0,718.45,551.5,45987.618123157896,0.0,24.087357954545453,1909.2014246618405
42,44101.31076715789,0.0,755.7249999999999,580.7249999999999,45437.760767157895,0.0,23.644886363636363,1921.6738904288814
43,44727.99620294737,0.0,718.5749999999999,551.5749999999999,45998.14620294736,0.0,23.72159090909091,1939.0835285553858
44,44430.223453684215,0.0,694.325,532.175,45656.72345368421,0.0,21.87097537878788,2087.548573529352
45,44029.24254252631,0.0,744.9499999999999,572.025,45346.21754252631,0.0,22.816761363636363,1987.4081522715883
46,44800.37285157894,0.0,751.15,576.5749999999999,46128.09785157895,0.0,21.314157196969695,2164.199945852756
47,43596.845712842114,0.0,734.15,563.6999999999999,44894.695712842105,0.0,23.415956439393938,1917.2693555798267
48,44714.36571536842,0.0,733.275,562.8249999999999,46010.46571536841,0.0,24.681344696969695,1864.1798605493907
49,44380.773475999995,0.0,724.25,555.8249999999999,45660.848476,0.0,23.729166666666668,1924.2499796733975
50,44613.66831347368,0.0,719.4749999999999,552.425,45885.568313473676,0.0,24.492897727272727,1873.4234235739411
51,43350.35034799999,0.0,751.275,576.125,44677.750347999994,0.0,24.086174242424242,1854.9126938269312
52,43832.854238736836,0.0,736.95,566.75,45136.55423873683,0.0,21.902935606060606,2060.7536382587646
53,45292.80651073684,0.0,697.0749999999999,535.125,46525.00651073684,0.0,24.935369318181817,1865.8238391044313
54,44848.681638315786,0.0,725.025,556.9749999999999,46130.681638315786,0.0,21.976799242424242,2099.062794788817
55,44855.08585978947,0.0,726.925,557.875,46139.88585978947,0.0,21.544270833333332,2141.6313514032586
56,44385.53533221052,0.0,742.5999999999999,569.875,45698.01033221053,0.0,22.374289772727273,2042.4340078009213
57,44565.56315452632,0.0,728.0,558.925,45852.48815452631,0.0,26.150094696969695,1753.434879906563
58,44628.72800463157,0.0,752.15,577.8499999999999,45958.72800463157,0.0,23.312026515151516,1971.4600090541662
59,44796.43480442105,0.0,732.25,561.425,46090.10980442105,0.0,22.339251893939394,2063.1894936878
60,43761.01219831579,0.0,713.3999999999999,547.6999999999999,45022.11219831579,0.0,23.685132575757578,1900.859623829897
61,44268.91131831579,0.0,711.05,546.05,45526.01131831579,0.0,22.949573863636363,1983.7410310459763
62,44245.10378757895,0.0,781.4,599.5749999999999,45626.07878757895,0.0,25.055160984848484,1821.0251698310874
63,45407.621947157895,0.0,707.3499999999999,542.3499999999999,46657.32194715789,0.0,23.271780303030305,2004.8883815340278
64,43478.060436631575,0.0,744.7,571.8499999999999,44794.61043663157,0.0,24.145833333333332,1855.169370973525
65,44929.68964694736,0.0,728.05,559.3249999999999,46217.064646947365,0.0,24.55066287878788,1882.517994529572
66,44503.32549136842,0.0,703.9,540.4499999999999,45747.67549136842,0.0,22.905539772727273,1997.231933640716
67,44189.64774968421,0.0,700.9,537.275,45427.82274968421,0.0,22.89749053030303,1983.9651288233551
68,44059.43909936842,0.0,760.9749999999999,583.95,45404.36409936842,0.0,22.374526515151516,2029.2882653235868
69,45180.750401473684,0.0,724.375,556.7249999999999,46461.85040147368,0.0,24.071732954545453,1930.141485418079
70,44952.50874336842,0.0,749.8499999999999,575.025,46277.38374336842,0.0,24.43181818181818,1894.1440787983354
71,45477.32173242105,0.0,740.8249999999999,568.5749999999999,46786.72173242105,0.0,23.5390625,1987.6204386823413
72,45083.19760357895,0.0,737.375,565.825,46386.39760357895,0.0,23.645833333333336,1961.7154933672155
73,44989.73596231578,0.0,694.375,533.125,46217.23596231578,0.0,21.19649621212121,2180.4186644718416
74,44101.031960842105,0.0,728.0,558.925,45387.9569608421,0.0,23.815104166666668,1905.8475093453653
75,44950.80247178947,0.0,713.1249999999999,546.75,46210.67747178947,0.0,21.854166666666668,2114.5019243526162
76,44203.168314105256,0.0,721.0749999999999,553.8,45478.043314105256,0.0,21.782670454545453,2087.80844428628
77,44386.06167010526,0.0,738.45,567.175,45691.68667010526,0.0,24.26941287878788,1882.6861159892755
78,45036.58464547368,0.0,672.55,516.0999999999999,46225.234645473676,0.0,20.295217803030305,2277.6417131414933
79,43525.39104694736,0.0,731.275,561.25,44817.916046947365,0.0,20.616477272727273,2173.8881698395303
80,44356.08830631578,0.0,754.55,579.175,45689.81330631579,0.0,22.26657196969697,2051.9464499742476
81,44042.84120989473,0.0,721.6999999999999,554.425,45318.96620989473,0.0,22.591856060606062,2005.9868515592418
82,44495.09038947368,0.0,730.65,561.2249999999999,45786.96538947368,0.0,23.118844696969695,1980.5040428977495
83,44815.56200652631,0.0,733.875,563.55,46112.98700652631,0.0,23.656960227272727,1949.23551308022
84,45016.61112021052,0.0,722.9,555.525,46295.03612021052,0.0,23.622632575757578,1959.7746344207294
85,44041.66975894736,0.0,736.2249999999999,564.9499999999999,45342.844758947365,0.0,24.478929924242422,1852.321359604964
86,44405.45045242104,0.0,755.425,579.3,45740.17545242104,0.0,23.939867424242422,1910.6277675582612
87,44284.570513473685,0.0,695.1999999999999,533.925,45513.695513473685,0.0,21.129498106060606,2154.035807429753
88,44527.376645684206,0.0,719.7249999999999,552.5,45799.601645684204,0.0,22.488636363636363,2036.566419818196
89,44864.972884210525,0.0,729.15,559.675,46153.79788421052,0.0,22.04474431818182,2093.6417868155677
90,44387.75859221052,0.0,763.2249999999999,585.7249999999999,45736.70859221052,0.0,23.942234848484848,1910.294042375284
91,44425.2198951579,0.0,724.0749999999999,555.6999999999999,45704.99489515789,0.0,23.035748106060606,1984.0898886688688
92,44709.7319888421,0.0,731.75,561.9,46003.3819888421,0.0,23.39370265151515,1966.48571088265
93,44814.46076463158,0.0,741.0999999999999,569.4499999999999,46125.010764631574,0.0,24.642282196969695,1871.783238092438
94,43811.70215010526,0.0,732.275,562.025,45106.00215010526,0.0,22.556107954545453,1999.7245198950916
95,44064.95266210526,0.0,719.125,552.15,45336.22766210526,0.0,23.25591856060606,1949.4490206420717
96,44222.447066315784,0.0,744.45,571.275,45538.17206631579,0.0,24.241477272727273,1878.5229775393364
97,43890.386151157894,0.0,736.15,565.15,45191.68615115789,0.0,23.89441287878788,1891.3076617704442
98,45304.055126526306,0.0,696.7249999999999,534.675,46535.45512652631,0.0,22.88186553030303,2033.7264487853156
99,44747.4082048421,0.0,727.5999999999999,558.525,46033.5332048421,0.0,21.527698863636363,2138.3397034877657
