run,E_heat_kWh,E_cool_kWh,E_plug_kWh,E_light_kWh,E_total_kWh,CO2_exceed_hours,mean_occupancy,E_per_capita
37,44843.91505452631,0.0,708.0249999999999,543.05,46094.990054526315,0.0,14.649384469696969,3146.5479078575795
38,44931.82316189473,0.0,736.3249999999999,565.5,46233.64816189474,0.0,16.417140151515152,2816.1816086846156
39,44320.52835726315,0.0,725.3,556.9749999999999,45602.803357263154,0.0,18.18560606060606,2507.6317613658557
40,44685.62875494736,0.0,708.85,544.5999999999999,45939.07875494737,0.0,14.405066287878787,3189.091798460034
41,45341.431281052624,0.0,711.525,546.0999999999999,46599.05628105263,0.0,16.60535037878788,2806.267571479824
42,44717.96866189473,0.0,749.3,575.7249999999999,46042.99366189474,0.0,16.24810606060606,2833.7452679193875
43,45346.864623999994,0.0,711.4749999999999,546.025,46604.364623999994,0.0,16.298295454545453,2859.4624974111903
44,44993.868190526315,0.0,687.675,527.0,46208.54319052632,0.0,15.110085227272727,3058.1259136197914
45,44606.80175305263,0.0,738.75,567.175,45912.72675305262,0.0,15.888967803030303,2889.5978217223314
46,45353.99127263157,0.0,743.5749999999999,570.675,46668.241272631574,0.0,14.673532196969695,3180.436765066646
47,44209.575976,0.0,727.9,558.8249999999999,45496.300976,0.0,16.06628787878788,2831.7867399891547
48,45356.622294315785,0.0,727.375,558.275,46642.272294315786,0.0,16.97750946969697,2747.297675054591
49,44998.7932128421,0.0,718.65,551.4749999999999,46268.9182128421,0.0,16.316051136363637,2835.7914440291506
50,45247.91173452631,0.0,712.1499999999999,546.75,46506.81173452631,0.0,16.885179924242426,2754.2976706902277
51,43983.11350589473,0.0,744.875,571.15,45299.138505894734,0.0,16.49621212121212,2746.0327360634237
52,44418.38713347368,0.0,730.575,561.775,45710.73713347368,0.0,14.879498106060606,3072.0617595868457
53,45943.2538791579,0.0,690.175,529.75,47163.178879157895,0.0,17.133285984848484,2752.7223278048245
54,45425.96453305263,0.0,717.275,550.9499999999999,46694.18953305263,0.0,15.052320075757576,3102.1257386265443
55,45415.11875452631,0.0,721.125,553.35,46689.593754526315,0.0,14.826704545454545,3149.0203107095736
56,44974.52217431578,0.0,736.9499999999999,565.4499999999999,46276.92217431578,0.0,15.309422348484848,3022.7738918507102
57,45254.95131242105,0.0,722.0999999999999,554.3499999999999,46531.40131242105,0.0,17.88091856060606,2602.2936771791833
58,45244.517478315785,0.0,746.625,573.55,46564.69247831579,0.0,15.925662878787879,2923.8778211447284
59,45367.579541263156,0.0,725.4749999999999,556.125,46649.179541263155,0.0,15.488399621212121,3011.878611226871
60,44384.04509305263,0.0,705.9749999999999,541.95,45631.97009305263,0.0,16.21188446969697,2814.7233702748917
61,44868.53631831579,0.0,704.6999999999999,541.125,46114.36131831579,0.0,15.757102272727273,2926.5762524199326
62,44895.35378757895,0.0,775.55,595.025,46265.928787578945,0.0,17.255445075757574,2681.236478366972
63,46005.51010505263,0.0,701.875,538.05,47245.43510505263,0.0,16.100142045454547,2934.473184874238
64,44103.36306821053,0.0,738.025,566.675,45408.063068210526,0.0,16.645359848484848,2727.971247334963
65,45572.41991010526,0.0,721.975,554.5999999999999,46848.99491010526,0.0,16.841145833333336,2781.817542211291
66,45101.82549136842,0.0,697.9,535.8,46335.52549136842,0.0,15.7265625,2946.322534970272
67,44784.693802315785,0.0,695.65,533.175,46013.51880231579,0.0,15.759943181818182,2919.650043878352
68,44647.51804673684,0.0,754.175,578.675,45980.36804673684,0.0,15.320549242424242,3001.221909160559
69,45805.5793488421,0.0,716.8499999999999,550.875,47073.304348842095,0.0,16.57694128787879,2839.6857738322647
70,45585.86400652632,0.0,743.825,570.375,46900.064006526314,0.0,16.83475378787879,2785.9073317897223
71,46089.59804821052,0.0,735.875,564.7,47390.17304821053,0.0,16.194839015151516,2926.251567173553
72,45699.796287789475,0.0,730.65,560.5999999999999,46991.046287789475,0.0,16.249763257575758,2891.7988245694537
73,45530.762278105256,0.0,687.2249999999999,527.5749999999999,46745.56227810526,0.0,14.706912878787879,3178.475500832501
74,44721.9924871579,0.0,721.8,554.0999999999999,45997.89248715789,0.0,16.366714015151516,2810.453732164884
75,45525.51957705263,0.0,706.9499999999999,541.9499999999999,46774.41957705263,0.0,14.960464015151516,3126.5353487486004
76,44784.61568252632,0.0,714.525,548.7249999999999,46047.86568252631,0.0,14.808238636363637,3109.6112652756374
77,45011.44324905262,0.0,733.6999999999999,563.4749999999999,46308.618249052626,0.0,16.767992424242426,2761.727049810785
78,45562.018856,0.0,664.8499999999999,510.12499999999994,46736.993856,0.0,13.992660984848484,3340.1076397554184
79,44061.64104694736,0.0,725.275,556.5999999999999,45343.51604694736,0.0,14.184185606060606,3196.765560341584
80,44938.79883263157,0.0,749.05,574.925,46262.773832631574,0.0,15.276988636363637,3028.265251341016
81,44631.05831515789,0.0,715.15,549.3249999999999,45895.53331515789,0.0,15.53622159090909,2954.098784353934
82,45100.28117894736,0.0,723.45,555.65,46379.38117894736,0.0,15.859611742424242,2924.3705288751275
83,45431.84490126315,0.0,727.9749999999999,558.9499999999999,46718.76990126315,0.0,16.26467803030303,2872.4066848553975
84,45650.12427810526,0.0,717.3499999999999,551.1999999999999,46918.67427810526,0.0,16.023674242424242,2928.0846307948204
85,44692.926337894736,0.0,729.8249999999999,559.9749999999999,45982.72633789473,0.0,16.667140151515152,2758.8852028531483
86,45028.364926105256,0.0,748.4,573.8249999999999,46350.58992610526,0.0,16.468039772727273,2814.578454131893
87,44836.51130294737,0.0,688.3499999999999,528.625,46053.48630294737,0.0,14.508996212121213,3174.133181210222
88,45105.31085621052,0.0,712.6499999999999,547.025,46364.98585621052,0.0,15.556344696969697,2980.4550335813915
89,45449.676831578945,0.0,723.8499999999999,555.525,46729.051831578945,0.0,15.03125,3108.7934690447532
90,45020.205960631574,0.0,755.5,579.75,46355.455960631574,0.0,16.356060606060606,2834.145524225738
91,45018.588316210524,0.0,717.4,550.525,46286.51331621053,0.0,15.918323863636363,2907.75044613503
92,45333.889883578944,0.0,724.375,556.175,46614.43988357894,0.0,15.906960227272727,2930.442977009383
93,45472.289712,0.0,734.975,564.6999999999999,46771.964712,0.0,16.751657196969695,2792.079861833661
94,44402.03109747368,0.0,725.7,556.925,45684.656097473686,0.0,15.475142045454547,2952.1316161936275
95,44665.32766210526,0.0,713.5,547.775,45926.60266210526,0.0,16.054450757575758,2860.6772885352966
96,44864.447066315784,0.0,737.8,566.125,46168.37206631579,0.0,16.540719696969695,2791.194876168173
97,44523.12957221053,0.0,729.05,559.5999999999999,45811.77957221052,0.0,16.3046875,2809.730611041182
98,45909.93670547368,0.0,691.3999999999999,530.55,47131.886705473684,0.0,15.614346590909092,3018.4988165252194
99,45309.33583642104,0.0,720.2249999999999,552.825,46582.38583642105,0.0,14.787405303030303,3150.1392490320914
